"Totals - Electronic card transactions by division, percentage changes (Monthly)","","","","","","","","","","","",""
"","Actual","","","","","","Seasonally adjusted","","","","",""
" ","RTS total industries","","RTS core industries","","Total","","RTS total industries","","RTS core industries","","Total",""
" ","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period"
"2022M09",29.4,"..",28.0,"..",33.6,"..","..",1.8,"..",1.9,"..",1.9
"2022M10",17.7,"..",17.7,"..",21.3,"..","..",2.2,"..",2.2,"..",2.1
"2022M11",8.7,"..",8.6,"..",12.1,"..","..",-1.4,"..",-1.1,"..",-1.3
"2022M12",6.4,"..",7.1,"..",7.7,"..","..",-0.3,"..",-0.4,"..",-0.6
"2023M01",4.6,"..",5.6,"..",8.9,"..","..",0.2,"..",0.6,"..",0.9
"2023M02",13.5,"..",15.0,"..",16.7,"..","..",0.7,"..",0.9,"..",0.4
"2023M03",17.2,"..",18.8,"..",19.0,"..","..",1.6,"..",1.6,"..",2.7
"2023M04",7.7,"..",9.1,"..",9.1,"..","..",0.0,"..",0.0,"..",0.2
"2023M05",4.8,"..",6.7,"..",6.6,"..","..",-1.3,"..",-0.9,"..",-1.1
"2023M06",6.1,"..",8.1,"..",9.1,"..","..",1.4,"..",0.8,"..",1.9
"2023M07",4.1,"..",6.3,"..",5.7,"..","..",-0.2,"..",0.4,"..",-1.0
"2023M08",5.7,"..",6.4,"..",7.5,"..","..",0.5,"..",-0.3,"..",0.8
"2023M09",2.9,"..",3.4,"..",3.9,"..","..",-0.6,"..",-0.8,"..",-0.8
"2023M10",-0.8,"..",-0.8,"..",1.6,"..","..",-0.5,"..",-0.5,"..",-0.2
"2023M11",3.2,"..",3.8,"..",5.2,"..","..",1.1,"..",1.5,"..",1.4
"2023M12",0.7,"..",1.1,"..",2.7,"..","..",-1.5,"..",-1.6,"..",-1.4
"2024M01",2.9,"..",2.9,"..",5.3,"..","..",1.0,"..",1.2,"..",1.0
"2024M02",4.8,"..",4.7,"..",6.9,"..","..",-0.9,"..",-0.9,"..",-1.0
"2024M03",-0.9,"..",-0.4,"..",-1.0,"..","..",-0.2,"..",0.2,"..",0.3
"2024M04",-2.3,"..",-2.6,"..",1.2,"..","..",-0.4,"..",-0.6,"..",0.7
"2024M05",-0.2,"..",-0.2,"..",1.6,"..","..",-0.8,"..",-0.5,"..",-1.1
"2024M06",-4.2,"..",-2.9,"..",-3.8,"..","..",-1.2,"..",-0.7,"..",-0.9
"2024M07",-4.3,"..",-4.4,"..",0.0,"..","..",0.1,"..",-0.2,"..",0.6
"2024M08",-2.4,"..",-0.9,"..",-0.7,"..","..",0.3,"..",0.6,"..",0.0
"2024M09",-5.0,"..",-3.3,"..",-2.3,"..","..",-0.1,"..",0.2,"..",0.2
"2024M10",-0.7,"..",1.0,"..",1.8,"..","..",0.9,"..",1.1,"..",0.5
"2024M11",-1.9,"..",-0.3,"..",-1.0,"..","..",0.0,"..",-0.2,"..",-0.3
"2024M12",0.0,"..",1.2,"..",0.9,"..","..",2.9,"..",2.8,"..",1.7
"2025M01",0.1,"..",1.2,"..",1.8,"..","..",-2.0,"..",-2.0,"..",-0.5
"2025M02",-4.0,"..",-2.7,"..",-2.6,"..","..",0.1,"..",0.2,"..",-0.2
"2025M03",-2.4,"..",-1.4,"..",-2.9,"..","..",-1.4,"..",-1.5,"..",-2.9
"2025M04",-1.1,"..",0.2,"..",-2.9,"..","..",0.0,"..",0.2,"..",-0.4
"2025M05",-0.1,"..",1.2,"..",-1.9,"..","..",-0.1,"..",-0.1,"..",0.3
"2025M06",-0.3,"..",0.3,"..",-1.7,"..","..",0.5,"..",0.7,"..",-0.1
